snapshot_at,list_name,list_position,kitsu_id,list_rank
2025-12-13 20:32:51+00:00,most_popular,1,26004,1
2025-12-13 20:32:51+00:00,most_popular,2,7176,2
2025-12-13 20:32:51+00:00,most_popular,3,38,3
2025-12-13 20:32:51+00:00,most_popular,4,14916,4
2025-12-13 20:32:51+00:00,most_popular,5,24147,5
2025-12-13 20:32:51+00:00,most_popular,6,57,6
2025-12-13 20:32:51+00:00,most_popular,7,37280,7
2025-12-13 20:32:51+00:00,most_popular,8,19682,8
2025-12-13 20:32:51+00:00,most_popular,9,16554,9
2025-12-13 20:32:51+00:00,most_popular,10,26401,10
2025-12-13 20:32:51+00:00,most_popular,11,68,11
2025-12-13 20:32:51+00:00,most_popular,12,24208,12
2025-12-13 20:32:51+00:00,most_popular,13,40815,13
2025-12-13 20:32:51+00:00,most_popular,14,12619,14
2025-12-13 20:32:51+00:00,most_popular,15,20055,15
2025-12-13 20:32:51+00:00,most_popular,16,38482,16
2025-12-13 20:32:51+00:00,most_popular,17,8,17
2025-12-13 20:32:51+00:00,most_popular,18,54114,18
2025-12-13 20:32:51+00:00,most_popular,19,66,19
2025-12-13 20:32:51+00:00,most_popular,20,38047,20
2025-12-13 20:32:51+00:00,most_popular,21,8549,21
2025-12-13 20:32:51+00:00,most_popular,22,1554,22
2025-12-13 20:32:51+00:00,most_popular,23,26178,23
2025-12-13 20:32:51+00:00,most_popular,24,22352,24
2025-12-13 20:32:51+00:00,most_popular,25,54139,25
2025-12-13 20:32:51+00:00,most_popular,26,26002,26
2025-12-13 20:32:51+00:00,most_popular,27,35,27
2025-12-13 20:32:51+00:00,most_popular,28,17204,28
2025-12-13 20:32:51+00:00,most_popular,29,111,29
2025-12-13 20:32:51+00:00,most_popular,30,54448,30
2025-12-13 20:32:51+00:00,most_popular,31,6182,31
2025-12-13 20:32:51+00:00,most_popular,32,9964,32
2025-12-13 20:32:51+00:00,most_popular,33,36702,33
2025-12-13 20:32:51+00:00,most_popular,34,40121,34
2025-12-13 20:32:51+00:00,most_popular,35,37141,35
2025-12-13 20:32:51+00:00,most_popular,36,5927,36
2025-12-13 20:32:51+00:00,most_popular,37,6157,37
2025-12-13 20:32:51+00:00,most_popular,38,35896,38
2025-12-13 20:32:51+00:00,most_popular,39,37,39
2025-12-13 20:32:51+00:00,most_popular,40,24155,40
2025-12-13 20:32:51+00:00,most_popular,41,1482,41
2025-12-13 20:32:51+00:00,most_popular,42,16640,42
2025-12-13 20:32:51+00:00,most_popular,43,16550,43
2025-12-13 20:32:51+00:00,most_popular,44,1456,44
2025-12-13 20:32:51+00:00,most_popular,45,57766,45
2025-12-13 20:32:51+00:00,most_popular,46,38138,46
2025-12-13 20:32:51+00:00,most_popular,47,78,47
2025-12-13 20:32:51+00:00,most_popular,48,1361,48
2025-12-13 20:32:51+00:00,most_popular,49,40278,49
2025-12-13 20:32:51+00:00,most_popular,50,25358,50
2025-12-13 20:32:51+00:00,most_popular,51,10022,51
2025-12-13 20:32:51+00:00,most_popular,52,38860,52
2025-12-13 20:32:51+00:00,most_popular,53,27175,53
2025-12-13 20:32:51+00:00,most_popular,54,35483,54
2025-12-13 20:32:51+00:00,most_popular,55,12,55
2025-12-13 20:32:51+00:00,most_popular,56,37855,56
2025-12-13 20:32:51+00:00,most_popular,57,3625,57
2025-12-13 20:32:51+00:00,most_popular,58,36095,58
2025-12-13 20:32:51+00:00,most_popular,59,16529,59
2025-12-13 20:32:51+00:00,most_popular,60,37696,60
2025-12-13 20:32:51+00:00,most_popular,61,4,61
2025-12-13 20:32:51+00:00,most_popular,62,11152,62
2025-12-13 20:32:51+00:00,most_popular,63,26168,63
2025-12-13 20:32:51+00:00,most_popular,64,272,64
2025-12-13 20:32:51+00:00,most_popular,65,267,65
2025-12-13 20:32:51+00:00,most_popular,66,24407,66
2025-12-13 20:32:51+00:00,most_popular,67,25436,67
2025-12-13 20:32:51+00:00,most_popular,68,25356,68
2025-12-13 20:32:51+00:00,most_popular,69,27527,69
2025-12-13 20:32:51+00:00,most_popular,70,25108,70
2025-12-13 20:32:51+00:00,most_popular,71,54597,71
2025-12-13 20:32:51+00:00,most_popular,72,55546,72
2025-12-13 20:32:51+00:00,most_popular,73,8777,73
2025-12-13 20:32:51+00:00,most_popular,74,9855,74
2025-12-13 20:32:51+00:00,most_popular,75,1329,75
2025-12-13 20:32:51+00:00,most_popular,76,13243,76
2025-12-13 20:32:51+00:00,most_popular,77,983,77
2025-12-13 20:32:51+00:00,most_popular,78,906,78
2025-12-13 20:32:51+00:00,most_popular,79,6490,79
2025-12-13 20:32:51+00:00,most_popular,80,2811,80
2025-12-13 20:32:51+00:00,most_popular,81,1282,81
2025-12-13 20:32:51+00:00,most_popular,82,18205,82
2025-12-13 20:32:51+00:00,most_popular,83,1984,83
2025-12-13 20:32:51+00:00,most_popular,84,27324,84
2025-12-13 20:32:51+00:00,most_popular,85,7375,85
2025-12-13 20:32:51+00:00,most_popular,86,19217,86
2025-12-13 20:32:51+00:00,most_popular,87,11777,87
2025-12-13 20:32:51+00:00,most_popular,88,56452,88
2025-12-13 20:32:51+00:00,most_popular,89,38449,89
2025-12-13 20:32:51+00:00,most_popular,90,40439,90
2025-12-13 20:32:51+00:00,most_popular,91,36446,91
2025-12-13 20:32:51+00:00,most_popular,92,10979,92
2025-12-13 20:32:51+00:00,most_popular,93,30463,93
2025-12-13 20:32:51+00:00,most_popular,94,20582,94
2025-12-13 20:32:51+00:00,most_popular,95,17413,95
2025-12-13 20:32:51+00:00,most_popular,96,40961,96
2025-12-13 20:32:51+00:00,most_popular,97,18123,97
2025-12-13 20:32:51+00:00,most_popular,98,2435,98
2025-12-13 20:32:51+00:00,most_popular,99,133,99
2025-12-13 20:32:51+00:00,most_popular,100,40324,100
